Format;MediaType;DownloadUrl;AccessUrl;Language
csv;csv;https://datasets.cbs.nl/csv/CBS/nl/83631NED;https://dataportal.cbs.nl/detail/CBS/83631NED;nl
odata;odata;https://datasets.cbs.nl/odata/v1/CBS/83631NED;https://dataportal.cbs.nl/detail/CBS/83631NED;nl
