Geslacht;Persoonskenmerken;Perioden;Regio's;Gemiddeld persoonlijk inkomen (1 000 euro);Geslacht;Persoonskenmerken;Perioden;Regio's;Gemiddeld persoonlijk inkomen (1 000 euro);Geslacht;Persoonskenmerken;Perioden;Regio's;Gemiddeld persoonlijk inkomen (1 000 euro);Geslacht;Persoonskenmerken;Perioden;Regio's;Gemiddeld persoonlijk inkomen (1 000 euro);Geslacht;Persoonskenmerken;Perioden;Regio's;Gemiddeld persoonlijk inkomen (1 000 euro)
Totaal mannen en vrouwen;Totaal personen;2019;Flevoland (PV);32.5;Totaal mannen en vrouwen;Totaal personen;2020;Flevoland (PV);33.4;Totaal mannen en vrouwen;Totaal personen;2021;Flevoland (PV);34.6;Totaal mannen en vrouwen;Totaal personen;2022;Flevoland (PV);36.5;Totaal mannen en vrouwen;Totaal personen;2023;Flevoland (PV);38.9
Totaal mannen en vrouwen;Totaal personen;2019;Zeeland (PV);31.5;Totaal mannen en vrouwen;Totaal personen;2020;Zeeland (PV);32.3;Totaal mannen en vrouwen;Totaal personen;2021;Zeeland (PV);33.5;Totaal mannen en vrouwen;Totaal personen;2022;Zeeland (PV);35.1;Totaal mannen en vrouwen;Totaal personen;2023;Zeeland (PV);37.3
